TransactionID,CustomerID,Product,TransactionDate,Amount,FirstName,LastName,Email,SignupDate,MonthlyIncome
1,1,Internet Plan,2022-01-10,60.0,Adam,Smith,adam.smith@example.com,2021-03-11,4500.0
1,1,Internet Plan,2022-01-10,60.0,Alice,Johnson,alice.johnson@example.com,2021-05-10,4000.0
1,1,Internet Plan,2022-01-10,60.0,Amelia,Smith,amelia.smith@example.com,2021-03-15 00:00:00,4600.0
2,2,Phone Plan,2022-02-15,40.0,Betty,Johnson,betty.johnson@example.com,2020-05-22,4800.0
2,2,Phone Plan,2022-02-15,40.0,Bob,Williams,bob.williams@example.com,2020-11-01,3500.0
2,2,Phone Plan,2022-02-15,40.0,Brian,Johnson,brian.johnson@example.com,2020-05-25 00:00:00,4800.0
3,3,TV Plan,2021-11-20,80.0,Charlie,Brown,charlie.brown@example.com,2019-07-14,5000.0
3,3,TV Plan,2021-11-20,80.0,Robert,Smith,robert.smith@example.com,2019-07-15,4500.0
3,3,TV Plan,2021-11-20,80.0,Clara,Brown,clara.brown@example.com,2019-07-20 00:00:00,5000.0
4,4,Internet Plan,2022-02-05,60.0,Daisy,Williams,daisy.williams@example.com,2021-01-25,5200.0
4,4,Internet Plan,2022-02-05,60.0,Mary,Davis,mary.davis@example.com,2018-12-30,3200.0
4,4,Internet Plan,2022-02-05,60.0,David,Davis,david.davis@example.com,2021-01-28 00:00:00,5200.0
5,5,Phone Plan,2021-09-12,50.0,Ethan,Jones,ethan.jones@example.com,2017-09-18,5300.0
5,5,Phone Plan,2021-09-12,50.0,James,Garcia,james.garcia@example.com,2022-01-18,4800.0
5,5,Phone Plan,2021-09-12,50.0,Ella,Wilson,ella.wilson@example.com,2017-09-22 00:00:00,5300.0
6,6,TV Plan,2021-10-11,70.0,Fiona,Miller,fiona.miller@example.com,2020-11-29,4700.0
6,6,TV Plan,2021-10-11,70.0,Jennifer,Martinez,jennifer.martinez@example.com,2021-03-05,4200.0
6,6,TV Plan,2021-10-11,70.0,Frank,Clark,frank.clark@example.com,2020-12-01 00:00:00,4700.0
7,7,Internet Plan,2021-08-21,60.0,George,Davis,george.davis@example.com,2016-05-23,5100.0
7,7,Internet Plan,2021-08-21,60.0,Patricia,Hernandez,patricia.hernandez@example.com,2020-06-23,3900.0
7,7,Internet Plan,2021-08-21,60.0,Grace,Lewis,grace.lewis@example.com,2016-06-10 00:00:00,5100.0
8,8,Phone Plan,2022-01-15,50.0,Holly,Garcia,holly.garcia@example.com,2018-03-17,4900.0
8,8,Phone Plan,2022-01-15,50.0,Linda,Lopez,linda.lopez@example.com,2019-10-12,3700.0
8,8,Phone Plan,2022-01-15,50.0,Henry,Walker,henry.walker@example.com,2018-04-25 00:00:00,4900.0
9,9,TV Plan,2021-07-18,80.0,Ian,Rodriguez,ian.rodriguez@example.com,2019-08-30,4500.0
9,9,TV Plan,2021-07-18,80.0,Michael,Gonzalez,michael.gonzalez@example.com,2018-05-17,4500.0
9,9,TV Plan,2021-07-18,80.0,Isla,Hall,isla.hall@example.com,2019-09-30 00:00:00,4600.0
10,10,Internet Plan,2022-02-09,60.0,Jane,Martinez,jane.martinez@example.com,2021-02-11,4700.0
10,10,Internet Plan,2022-02-09,60.0,Sarah,Wilson,sarah.wilson@example.com,2022-02-09,4300.0
10,10,Internet Plan,2022-02-09,60.0,Jack,Allen,jack.allen@example.com,2021-02-14 00:00:00,4800.0
11,11,Phone Plan,2021-05-22,40.0,Kyle,Hernandez,kyle.hernandez@example.com,2015-12-14,5000.0
11,11,Phone Plan,2021-05-22,40.0,David,Anderson,david.anderson@example.com,2021-07-11,4100.0
11,11,Phone Plan,2021-05-22,40.0,Kara,Young,kara.young@example.com,2015-12-24 00:00:00,5000.0
12,12,Internet Plan,2021-06-05,60.0,Laura,Lopez,laura.lopez@example.com,2018-06-26,4800.0
12,12,Internet Plan,2021-06-05,60.0,Richard,Thomas,richard.thomas@example.com,2020-03-29,3900.0
12,12,Internet Plan,2021-06-05,60.0,Leo,King,leo.king@example.com,2018-07-29 00:00:00,4800.0
13,13,TV Plan,2022-01-02,80.0,Mike,Gonzalez,mike.gonzalez@example.com,2019-04-19,4900.0
13,13,TV Plan,2022-01-02,80.0,Susan,Taylor,susan.taylor@example.com,2019-08-14,4000.0
13,13,TV Plan,2022-01-02,80.0,Mia,Scott,mia.scott@example.com,2019-05-19 00:00:00,4900.0
14,14,Phone Plan,2021-09-10,50.0,Nina,Wilson,nina.wilson@example.com,2020-10-12,5100.0
14,14,Phone Plan,2021-09-10,50.0,Joseph,Moore,joseph.moore@example.com,2018-01-27,3800.0
14,14,Phone Plan,2021-09-10,50.0,Noah,Green,noah.green@example.com,2020-11-12 00:00:00,5100.0
15,15,Internet Plan,2021-11-20,60.0,Oscar,Anderson,oscar.anderson@example.com,2017-01-20,5300.0
15,15,Internet Plan,2021-11-20,60.0,Karen,Jackson,karen.jackson@example.com,2021-09-05,4200.0
15,15,Internet Plan,2021-11-20,60.0,Olivia,Adams,olivia.adams@example.com,2017-01-27 00:00:00,5300.0
16,16,TV Plan,2022-02-11,70.0,Paula,Thomas,paula.thomas@example.com,2019-05-15,4500.0
16,16,TV Plan,2022-02-11,70.0,Thomas,Martin,thomas.martin@example.com,2020-12-15,4100.0
16,16,TV Plan,2022-02-11,70.0,Paul,Mitchell,paul.mitchell@example.com,2019-06-15 00:00:00,4600.0
17,17,Internet Plan,2021-04-15,60.0,Quincy,Taylor,quincy.taylor@example.com,2016-08-08,4700.0
17,17,Internet Plan,2021-04-15,60.0,Betty,Lee,betty.lee@example.com,2019-11-21,3500.0
17,17,Internet Plan,2021-04-15,60.0,Quinn,Roberts,quinn.roberts@example.com,2016-08-12 00:00:00,4800.0
